CÓDIGO DE GRUPO,NOMBRE DEL GRUPO,LÍDER DEL GRUPO,INSTITUCIONES QUE LO AVALAN,GRUPO RECONOCIDO,GRUPO INSCRITO PARA MEDICIÓN,CLASIFICACIÓN DEL GRUPO
COL0011948,HISTORIA Y SOCIOLOGÍA DE LA CIENCIA,MAURICIO NIETO OLARTE,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0013109,LABORATORIO DE GENÉ- TICA HUMANA,HELENA GROOT DE RESTREPO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0017539,"GRUPO DE MATERIALES Y MANUFACTURA CIPP - CI-
PEM",JORGE ALBERTO MEDINA PERILLA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0021176,EDUCACIÓN Y EVALUA- CIÓN EN LAS DISCIPLINAS,JUNY MONTOYA VARGAS,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0023939,"DISCURSO Y FICCIÓN. COLOMBIA Y AMÉRICA LATINA
EN EL SIGLO XIX.",CAROLINA ALZATE CADAVID,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0028506,GRUPO DE INVESTIGACIÓN DERECHO Y GÉNERO,ISABEL CRISTINA JARAMILLO SIERRA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0029423,"LABORATORIO DE DIAG- NÓSTICO MOLECULAR Y
BIOINFORMÁTICA",CARLOS A JARAMI- LLO HENAO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0030827,TEORÍA DE MODELOS,ALF ONSHUUS NIÑO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0044896,NATURALEZA Y SOCIEDAD,MARGARITA SERJE DE LA OSSA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0058031,TEORÍA POLÍTICA Y SOCIAL,LUIS JAVIER ORJUELA ESCOBAR,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0078599,GRUPO DE INTEGRIDAD ESTRUCTURAL GIE,EDGAR ALEJANDRO MARANON LEON,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0081039,"GRUPO DE INVESTIGACIÓN EN COMPUESTOS BIO-OR-
GÁNICOS",JAIME ANTONIO PORTILLA SALINAS,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0103959,"UMBRA: ESPACIO, SOCIE- DAD Y CULTURA",MARTA CLEMENCIA HERRERA ANGEL,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0111399,"BIOLOGÍA COMPUTACIO- NAL Y ECOLOGÍA MICRO-
BIANA",ALEJANDRO REYES MUÑOZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0136218,ÓPTICA CUÁNTICA EXPERIMENTAL,"ALEJANDRA CATA- LINA VALENCIA
GONZALEZ",UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0137789,DERECHO INTERNACIONAL Y GLOBALIZACIÓN,LILIANA OBREGÓN TARAZONA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0003614,GRUPO DE INVESTIGACIÓN EN DISEÑO,"RAFAEL HERNANDO BARRAGÁN RO-
MERO",UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0013174,"LABORATORIO DE ZOOLO- GÍA Y ECOLOGÍA ACUÁ-
TICA ""LAZOEA""","EMILIO ANTONIO REALPE REBO-
LLEDO",UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0055218,"LAS FORMAS DE LA PRO- DUCCIÓN EN ARQUITEC-
TURA",MARIA ELISA NAVA- RRO MORALES,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0087409,"GRUPO DE ESTUDIOS EN SOSTENIBILIDAD URBANA
Y REGIONAL (SUR)",LUIS ANGEL GUZ- MAN GARCIA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0088086,CRITERIO,JORGE ANDRÉS MEJÍA DELGADILLO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0095329,"LABORATORIO DE ECOLO- GIA MOLECULAR DE VER-
TEBRADOS ACUATICOS",SUSANA CABA- LLERO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0100233,"LABORATORIO DE BIOLO- GÍA DEL DESARROLLO
(BIOLDES)",ZAYRA VIVIANA GA- RAVITO AGUILAR,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0101689,"GRUPO MULTIDISCIPLINA- RIO DE POLITICAS PÚBLI-
CAS",DARÍO MALDONADO CARRIZOSA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0112806,GEOGRAFÍAS DEL PODER,LUIS DANIEL SAN- CHEZ AYALA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0114032,"LABORATORIO DE SÍNTE- SIS ORGÁNICA, BIO- Y OR-
GANOCATÁLISIS",DIEGO GAMBA SAN- CHEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0134198,"ECOFIV: GRUPO DE ECO- LOGIA Y FISIOLOGIA VEGE-
TAL UNIANDINO",ELOISA LASSO DE PAULIS,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0136165,"ÁLGEBRA, GEOMETRÍA AL- GEBRAICA Y TEORÍA DE
REPRESENTACIONES",CÉSAR NEYIT GA- LINDO MARTÍNEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0147641,BIOLOGÍA MATEMÁTICA Y COMPUTACIONAL BIOMAC,JUAN CORDOVEZ ALVAREZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0002223,CENTRO DE INVESTIGACIONES EN BIOQUÍMICA,JESÚS ALFREDO URIBE ARDILA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0010664,GRUPO DE FISICA TEO- RICA,ALONSO BOTERO MEJÍA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0015473,ASTROFÍSICA,ALEJANDRO GAR- CIA VARELA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0024964,SOLIDOS  POROSOS Y CA- LORIMETRÍA APLICADA,JUAN CARLOS MO- RENO PIRAJÁN,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0037793,"DERECHO, JUSTICIA Y DE- MOCRACIA",RODOLFO ARANGO RIVADENEIRA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0041858,"GRUPO DE INVESTIGACIÓN EN ARTE CONTEMPORÁ-
NEO",LINA MARÍA ESPI- NOSA SALAZAR,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0057366,NEUROCIENCIA Y COM- PORTAMIENTO,LUIS FERNANDO CARDENAS PARRA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0067881,"GRUPO DE INVESTIGACIÓN EN DERECHO Y ACCIÓN
SOCIAL (IDEAS)",CESAR RODRIGUEZ GARAVITO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0081129,PSICOLOGÍA CLÍNICA UNIANDES,LEONIDAS CASTRO CAMACHO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0097684,ESTUDIOS COMPARADOS DE ARTES,"MARIA CÂNDIDA FE- RREIRA DE AL-
MEIDA",UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0100476,ANTROPOLOGÍA URBANA,FRIEDERIKE FLEISCHER,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0101938,PALINOLOGÍA Y PA- LEOECOLOGÍA TROPICAL,CATALINA GONZÁ- LEZ ARANGO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0142556,PSICOLOGÍA Y CULTURA,MARTIN PACKER,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0155008,MÁRGENES CONVERGEN- TES,IDAEL FRANCISCO BLANCO QUINTERO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0157479,ESTUDIOS INTERNACIONA- LES,JEAN MARIE CHENOU,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0165102,GRUPO DE DERECHO AM- BIENTAL,"EVERALDO LAM- PREA MONTEALE-
GRE",UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0002878,CONVERSIÓN DE ENERGÍA,GERARDO GORDI- LLO ARIZA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,No,Reconocido
COL0004246,"PROYECTO, ARQUITEC- TURA Y CIUDAD",MARÍA CECILIA O'BYRNE OROZCO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,No,Reconocido
COL0015301,ANTROPOLOGÍA HISTÓ- RICA,ZANDRA PEDRAZA GÓMEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,Reconocido
COL0035091,ANÁLISIS GEOMÉTRICO Y APLICACIONES,ALEXANDER CAR- DONA GUIO,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,Reconocido
COL0107172,"ARTES AUDIOVISUALES, ELECTRÓNICAS Y DEL
TIEMPO",CARMEN GIL VRO- LIJK,UNIVERSIDAD DE LOS ANDES - UNIANDES,,No,Reconocido
COL0149234,HISTORIA DE LA CULTURA POLÍTICA,CATALINA MUÑOZ ROJAS,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,Reconocido
COL0166656,"GESTIÓN CADENA DE SU- MINISTRO Y TECNOLOGÍA
- CAST",NUBIA MILENA VE- LASCO RODRÍGUEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,Reconocido
COL0166709,"RED DE ETNOPSIQUIATRIA: ESTUDIOS SOCIALES Y DE
LA CULTURA",CARLOS ALBERTO URIBE TOBÓN,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,Reconocido
COL0002395,CIMPAT. CENTRO DE INVESTIGACIONES EN MICROBIOLOGÍA Y PARASITOLOGIA TROPICAL,FELIPE GUHL NAN- NETTI,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A1
COL0002751,"CONFLICTOS ARMADOS, CONSTRUCCIÓN DE PAZ Y ESTUDIOS GLOBALES EN
SEGURIDAD",ANGELIKA RETTBERG BEIL,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A1
COL0013728,MICROBIOLOGIA AMBIEN- TAL Y BIOPROSPECCION,JENNY DUSSÁN GARZÓN,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A1
COL0020319,"COMITÉ INTERDISCIPLINA- RIO DE ESTUDIOS SOBRE VIOLENCIA, SUBJETIVIDAD
Y CULTURA",ALEJANDRO CASTI- LLEJO CUÉLLAR,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0023949,"GRUPO DE INVESTIGACIÓN EN INGENIERÍA Y GEREN- CIA DE PROYECTOS DE
CONSTRUCCIÓN",JOSÉ LUIS PONZ TIENDA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,A
COL0002214,"CENTRO DE INVESTIGACIONES EN ACUEDUCTOS Y ALCANTARILLADOS - CIA-
CUA",JUAN GUILLERMO SALDARRIAGA VAL- DERRAMA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0021971,"LABORATORIO DE INVESTI- GACIÓN Y DESARROLLO SOBRE INFORMÁTICA Y
EDUCACIÓN -LIDIE-",LUZ ADRIANA OSO- RIO GÓMEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0038754,"GRUPO DE INVESTIGACION EN BIOQUÍMICA Y BIOLO- GÍA MOLECULAR DE PARÁ-
SITOS",BARBARA HANNA ZIMMERMANN,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0058452,"POLÍTICA CONTESTATA- RIA, PRODUCCIÓN DE SU- JETOS POLÍTICOS Y CONS-
TRUCCIÓN DE CIUDADANÍA",VIRGINIE LAURENT LEONE,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,B
COL0028551,"POÉTICAS: DRAMATUR- GOS, POETAS Y FILÓSO- FOS REFLEXIONAN SOBRE
LAS ARTES",FRANCIA ELENA GOENAGA OLIVA- RES,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0078562,"INTERCAMBIO Y MIGRA- CIONES EN EL ARTE DE AMERICA LATINA Y EL CA-
RIBE",MARIA CLARA BER- NAL BERMUDEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0137716,"GRUPO DE INVESTIGACIÓN EN PRISIONES, POLÍTICA CRIMINAL Y SEGURIDAD
CIUDADANA",LIBARDO JOSE ARIZA HIGUERA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0137799,"GRUPO DE ESTUDIOS E IN- VESTIGACIÓN EN DERE- CHO PENAL Y JUSTICIA TRANSICIONAL ""CESARE
BECCARIA""",RICARDO POSADA MAYA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0138839,"GRUPO DE INVESTIGACIÓN EN QUÍMICA INORGÁNICA CATÁLISIS Y BIONIORGÁ-
NICA",JOHN JADY HUR- TADO BELALCAZAR,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0151054,"INTERVENCIONES PSICO- SOCIALES Y SUBJETIVIDA- DES EN CONTEXTOS DE
VIOLENCIA",ANA LUCIA JARAMI- LLO SIERRA,UNIVERSIDAD DE LOS ANDES - UNIANDES,,Sí,C
COL0024122,"LÓGICA, EPISTEMOLOGÍA Y FILOSOFÍA DE LA CIEN- CIA",ANDRÉS PÁEZ PE- ÑUELA,UNIVERSIDAD DE LOS ANDES - UNIANDES; COLE- GIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,,Sí,A1
COL0039929,"E. C. ESTUDIOS EN CIEN- CIAS DEL COMPORTA-
MIENTO",OLIVER MÜLLER,UNIVERSIDAD DE LOS ANDES - UNIANDES; COLE- GIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO; FUNDACIÓN RU- BEN ARDILA PARA EL AVANCE DE LA PSICOLOGÍA,,Sí,A1
COL0005904,GRUPO DE INGENIERIA BIOMÉDICA,MARIO ANDRÉS VALDERRAMA MAN- RIQUE,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACION CARDIO- INFANTIL-INSTI- TUTO CARDIOLO- GIA,,Sí,A1
COL0013058,LABORATORIO DE BOTÁ- NICA Y SISTEMÁTICA,SANTIAGO MADRI- ÑÁN RESTREPO,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACIÓN JARDÍN BOTÁNICO 'GUI- LLERMO PIÑERES',,Sí,A1
COL0041212,GRUPO DE EPIDEMIOLO- GÍA DE LA UNIVERSIDAD DE LOS ANDES (EPIANDES),OLGA LUCIA SAR- MIENTO DUEÑAS,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACIÓN SANTA FÉ DE BOGOTÁ - FSFB,,Sí,A1
COL0112922,"GRUPO DE INVESTIGACIÓN EN SALUD PÚBLICA, EDU- CACIÓN Y PROFESIONA- LISMO (S.E.P.)",DANIEL ENRIQUE SUÁREZ ACEVEDO,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACIÓN SANTA FÉ DE BOGOTÁ - FSFB,,Sí,B
COL0023902,CIENCIAS BÁSICAS MÉDI- CAS,JOHN MARIO GON- ZÁLEZ ESCOBAR,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACIÓN SANTA FÉ DE BOGOTÁ - FSFB,,Sí,C
COL0073449,NEUROCIENCIA TRASLA- CIONAL,VERONICA AKLE AL- VAREZ,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACIÓN SANTA FÉ DE BOGOTÁ - FSFB,,Sí,C
COL0128539,"DIABETES, LÍPIDOS Y ME- TABOLISMO UNIANDES",CARLOS OLIMPO MENDIVIL ANAYA,UNIVERSIDAD DE LOS ANDES - UNIANDES; FUN- DACIÓN SANTA FÉ DE BOGOTÁ - FSFB,,Sí,C
COL0147768,GRUPO DE INVESTIGACIÓN EN INGENIERÍA EN LA EDU- CACIÓN STEM+B,MAURICIO DUQUE ESCOBAR,UNIVERSIDAD DE LOS ANDES - UNIANDES; UNIVERSIDAD DEL NORTE - UNINORTE; UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL; UNIVER- SIDAD TECNOLÓ- GICA DE BOLÍVAR; UNIVERSIDAD EL BOSQUE,,Sí,B
COL0013719,GRUPO DE MICOLOGÍA  Y FITOPATOLOGIA,SILVIA RESTREPO RESTREPO,UNIVERSIDAD DE LOS ANDES - UNIANDES; UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,A1
COL0136423,"ESTADÍSTICA, CONTROL Y OPTIMIZACIÓN",MAURICIO JOSÉ JUNCA PELÁEZ,UNIVERSIDAD DE LOS ANDES - UNIANDES; UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,,Sí,B
COL0039724,"COGNICIÓN, PRÁCTICAS Y APRENDIZAJE",WILLIAM JIMENEZ LEAL,UNIVERSIDAD DE LOS ANDES - UNIANDES; UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,,Sí,A1
COL0002179,"CENTRO DE INVESTIGACIONES ECOLÓGICAS LA
MACARENA",PABLO R STEVEN- SON,UNIVERSIDAD DE LOS ANDES -UNIANDES,,Sí,A1
COL0002386,"CENTRO PARA LA OPTIMI- ZACION Y PROBABILIDAD
APLICADA (COPA)","ANDRES LEO- NARDO MEDAGLIA
GONZALEZ",UNIVERSIDAD DE LOS ANDES -UNIANDES,,Sí,A1
COL0012506,"INSTITUTO DE ACUICUL- TURA DE LA UNIVERSIDAD
DE LOS LLANOS",WÁLTER VÁSQUEZ TORRES,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,A
COL0040233,"GRUPO DE INVESTIGACIÓN EN REPRODUCCIÓN Y GE-
NÉTICA ANIMAL (GIRGA)",AGUSTIN GONGORA ORJUELA,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,A
COL0018493,"GITECX - GRUPO DE IN- VESTIGACIÓN EN TECNO-
LOGÍAS ABIERTAS",FELIPE CORREDOR CHAVARRO,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0025629,AGROFORESTERÍA,MARÌA LIGIA ROA VEGA,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0058505,BIORINOQUIA,JAIME ALBERTO MARÍN COLORADO,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0062759,GRUPO DE CUIDADO,"OSCAR ALEXANDER GUTIÉRREZ LES-
MES",UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0078366,"JUEGO, CUERPO Y MOTRI- CIDAD",ROLANDO CHAPA- RRO HURTADO,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0079846,GESI,EMILCE SALA- MANCA RAMOS,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0087015,MACRYPT,FABIÁN VELÁSQUEZ CLAVIJO,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0088809,FAVISA,"PATRICIA ELIZA- BETH LEÓN SAAVE-
DRA",UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0104134,CAVENDISH,FREDY LEONARDO DUBEIBE MARÍN,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0156489,"GRUPO DE ESTUDIOS EN NUTRICIÓN ANIMAL, GENA",VICTOR LIBARDO HURTADO NERY,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0169148,GYDO GESTIÓN Y DESA- RROLLO ORGANIZACIONAL,DAGOBERTO TO- RRES FLÓREZ,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0060737,"GRUPO DE INVESTIGACIÓN ""HORIZONTE MEDIÁTICO""",SANTIAGO VAL- BUENA RODRIGUEZ,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,Reconocido
COL0114069,DINÁMICAS DE CONSUMO,MARIA CRISTINA OTERO GOMEZ,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,Reconocido
COL0120933,DYATIC,OLGA LUCERO VEGA MÁRQUEZ,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,No,Reconocido
COL0154949,"GRUPO DE INVESTIGACIÓN SOBRE INFANCIAS, EDU-
CACIÓN Y CONTEXTO",LUZ HAYDEÉ GON- ZÁLEZ OCAMPO,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,Reconocido
COL0185633,TRIFIN,FERNANDO BA- QUERO CORTES,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,Reconocido
COL0041965,"GRITOX - GRUPO DE IN- VESTIGACIÓN SOBRE RE- PRODUCCIÓN Y TOXICO- LOGÍA DE ORGANISMOS
ACUÁTICOS",VÍCTOR MAURICIO MEDINA ROBLES,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,A
COL0035743,"GRUPO DE INVESTIGACIÓN EN ALIMENTACIÓN Y NU- TRICIÓN DE ORGANISMOS
ACUÁTICOS - GRANAC",MARTHA INÉS YOSSA PERDOMO,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,B
COL0103128,"GRUPO DE INVESTIGACIÓN EN FARMACOLOGÍA EXPE- RIMENTAL Y MEDICINA IN-
TERNA - ÉLITE",DUMAR ALEXAN- DER JARAMILLO HERNÁNDEZ,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0114533,"EVALUACIÓN, MANEJO Y CONSERVACIÓN DE RE- CURSOS HIDROBIOLÓGI-
COS Y PESQUEROS",HERNANDO RAMI- REZ GIL,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0130985,"BIOTOX - GRUPO DE IN- VESTIGACIÓN EN BIOTEC- NOLOGÍA Y TOXICOLOGÍA
ACUÁTICA Y AMBIENTAL",YOHANA MARÍA VE- LASCO SANTAMA- RÍA,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS,,Sí,C
COL0052806,SISTEMAS SOSTENIBLES DE PRODUCCION CON EN- FASIS EN PALMAS TROPI- CALES,ALVARO OCAMPO DURAN,UNIVERSIDAD DE LOS LLANOS - UNI- LLANOS; FUNDA- CIÓN HORIZONTE VERDE,,No,Reconocido
COL0034989,ECONOMÍA INTERNACIONAL,HÉCTOR MAURICIO SERNA GÓMEZ,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,A1
COL0003319,DERECHO  Y SOCIEDAD,"MARÍA TERESA CA- RREÑO BUSTA-
MANTE",UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,A
COL0003392,PSICOLOGÍA DEL DESA- RROLLO,ALEJANDRO LON- DOÑO VALENCIA,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,B
COL0009215,GRUPO DE INVESTIGACIÓN MÉDICA,"SANDRA CONS- TANZA CAÑÓN BUI-
TRAGO",UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,B
COL0071347,PSICOLOGÍA CLÍNICA Y PROCESOS DE SALUD,MARIELA NARVAEZ MARIN,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,B
COL0096819,DERECHOS HUMANOS Y CONFLICTO,"CLAUDIA ALEXAN- DRA MUNÉVAR
QUINTERO",UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,B
COL0161435,"CONOCIMIENTO EN DIVER- SIDAD  Y CULTURA EN
AMÉRICA LATINA",GERMÁN GUARÍN JURADO,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,C
COL0039377,GRUPO DE INVESTIGACION EN MERCADEO,CARLOS OSORIO TORO,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,No,Reconocido
COL0062796,TEORIA CONTABLE,RUBIELA JIMENEZ AGUIRRE,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,Reconocido
COL0010584,"GRUPO DE INVESTIGACIÓN Y DESARROLLO EN INFOR- MÁTICA Y TELECOMUNICA-
CIONES",DIEGO LOPEZ CAR- DONA,UNIVERSIDAD DE MANIZALES - UMA- NIZALES,,Sí,A
COL0076835,"EDUCACION Y PEDA- GOGIA:  SABERES, IMAGI- NARIOS E INTERSUBJETIVI- DADES",HÉCTOR FABIO OS- PINA SERNA,UNIVERSIDAD DE MANIZALES - UMA- NIZALES; FUNDA- CIÓN CENTRO IN- TERNACIONAL DE EDUCACIÓN Y DESARROLLO HU- MANO - CINDE,,Sí,A1
COL0048984,"JÓVENES, CULTURAS Y PODERES",GERMÁN MUÑOZ GONZÁLEZ,UNIVERSIDAD DE MANIZALES - UMA- NIZALES; FUNDA- CIÓN CENTRO IN- TERNACIONAL DE EDUCACIÓN Y DESARROLLO HU- MANO - CINDE; UNIVERSIDAD DIS- TRITAL FRANCISCO JOSÉ DE CALDAS; CORPO- RACIÓN UNIVERSI- TARIA MINUTO DE DIOS,,Sí,A
COL0002241,"CENTRO DE INVESTIGACIONES EN MEDIO AM-
BIENTE Y DESARROLLO",IRMA SOTO VA- LLEJO,UNIVERSIDAD DE MANIZALES - UMANIZALES,,Sí,A1
COL0025667,"GRUPO DE INVESTIGACIO- NES EN INGENIERIA CIVIL
(GICI)",CESAR AUGUSTO HIDALGO MONTOYA,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A1
COL0136693,"MATERIALES NANOES-
TRUCTURADOS Y BIOMO- DELACIÓN",JULIÁN DAVID CO- RREA ABAD,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A1
COL0007444,"GRUPO  DE INVESTIGACIO-
NES JURÍDICAS UNIVERSI- DAD DE MEDELLÍN",OLGA CECILIA RES- TREPO YEPES,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
COL0008998,"GRUPO DE INVESTIGACIO- NES Y MEDICIONES AM-
BIENTALES - GEMA",GLADIS ESTELA MORALES MIRA,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
COL0025059,"GRUPO DE INVESTIGACIÓN
EN EDUCACIÓN, SOCIEDAD Y PAZ",NORELLY MARGA- RITA SOTO BUILES,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
COL0043979,"GRUPO DE INVESTIGACIO- NES EN DERECHO PROCE-
SAL",LILIANA DAMARIS PABÓN GIRALDO,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
COL0120808,GRUPO DE MODELACIÓN Y COMPUTACIÓN CIENTÍFICA,"CARLOS CÉSAR PIEDRAHITA ESCO-
BAR",UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
COL0137289,"GRUPO DE INVESTIGACIÓN EN CALIDAD DEL AGUA Y MODELACIÓN HÍDRICA (GI-
CAMH)",LUIS JAVIER MON- TOYA JARAMILLO,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
COL0137359,"GRUPO DE INVESTIGACIO- NES EN NEGOCIOS Y RE- LACIONES INTERNACIONA-
LES",ABRAHAM ALLEC LONDOÑO PINEDA,UNIVERSIDAD DE MEDELLÍN - UDEM,,Sí,A
